Id,Type,Name,Mean,StdDev,CR.,Races,Last,Bike,Series,Venue
162,Rider,Jaak Delsing,29.001130776691852,3.743704196228003,17.770018188007842,2,1951-06-30,Triumph [1951],MotoGP,
163,Rider,Vaino Hollming,23.388238500337565,2.4831541088616533,15.938776173752604,6,1951-06-30,Moto Guzzi [1951],MotoGP,
164,Rider,Evert Carlsson,26.31956492110298,2.3132464607585175,19.379825538827426,7,1960-07-23,BMW [1960],MotoGP,
165,Rider,Eugéne Cordang,27.023321600063174,3.745485131101181,15.78686620675963,2,1951-06-30,Triumph [1951],MotoGP,
166,Rider,Mike Featherstone,23.983898651270113,3.177039629705464,14.452779762153721,3,1951-06-30,AJS [1951],MotoGP,
167,Rider,Georges Houel,24.845625701522884,2.905602427007211,16.12881842050125,4,1951-07-13,Gilera [1951],MotoGP,
168,Rider,Bill Lomas,28.083217213428807,1.5901411688473568,23.312793706886737,17,1956-08-10,Moto Guzzi [1956],MotoGP,
169,Rider,Sidney Mason,23.162306832167594,2.323241280053756,16.192582992006326,7,1953-08-01,Norton [1953],MotoGP,
170,Rider,Lous van Rijswijk,27.00010151300662,2.603953534296993,19.18824091011564,6,1952-07-05,Norton [1952],MotoGP,
171,Rider,Cees Fokke-Bosch,26.519120161749473,3.202914042846433,16.910378033210176,3,1952-06-27,Norton [1952],MotoGP,
172,Bike,BMW [1950],23.354846658356273,4.592010793542503,9.578814277728764,1,1950-07-07,,MotoGP,
173,Rider,Denis Jenkinson,23.647623065430718,4.4470001021484,10.306622758985519,1,1950-07-22,Norton [1950],MotoGP,
174,Rider,Willy Lips,26.987624205508993,3.235564444034266,17.280930873406195,3,1952-05-17,Norton [1952],MotoGP,
175,Rider,Alfredo Milani,27.71289852164784,1.2722480325167365,23.89615442409763,31,1960-09-10,Gilera [1960],MotoGP,
176,Rider,Robert Müller,20.878377787394943,4.546397368835422,7.239185680888678,1,1950-07-22,Norton [1950],MotoGP,
177,Rider,Henri Widonne,17.52747079394359,4.824556146208856,3.0538023553170213,1,1950-07-22,Norton [1950],MotoGP,
178,Rider,Thomas Byrne,26.440207505051948,4.4748778432685175,13.015573975246395,1,1950-08-17,Triumph [1950],MotoGP,
179,Rider,Wilmot Evans,24.609527824100624,4.863556393400547,10.018858643898984,1,1950-08-17,Bitza [1950],MotoGP,
180,Bike,Bitza [1950],24.609527824100617,4.863556393400547,10.018858643898977,1,1950-08-17,,MotoGP,
181,Rider,Herbert Meyers,21.215738189936474,4.5133398516609855,7.675718634953517,1,1950-08-17,Norton [1950],MotoGP,
182,Rider,Giuseppe Colnago,31.065147971226384,1.6343617880936536,26.162062606945423,16,1957-07-06,Moto Guzzi [1957],MotoGP,
183,Rider,Georges Monneret,22.3107368360484,2.9493840812874996,13.4625845921859,4,1953-09-05,Matchless [1953],MotoGP,
184,Rider,Dario Basso,23.85300345770199,4.440140355428897,10.5325823914153,1,1950-09-09,Gilera [1950],MotoGP,
185,Rider,Libero Liberati,32.21444555199014,1.6677324589612887,27.21124817510627,17,1957-08-31,Gilera [1957],MotoGP,
186,Rider,Maurice Cann,24.767406561548963,4.441865610867711,11.441809728945831,1,1950-09-09,Moto Guzzi [1950],MotoGP,
187,Rider,Luigi Ciai,24.44225537216616,4.444036979893751,11.110144432484907,1,1950-09-09,Moto Guzzi [1950],MotoGP,
188,Rider,Elio Scopigno,19.47516798031457,3.815725712897639,8.027990841621651,2,1951-05-26,Moto Guzzi [1951],MotoGP,
189,Bike,Gilera [1951],26.439017930524734,2.186868077115662,19.87841369917775,8,1951-09-08,,MotoGP,
190,Rider,Thomas Wood,25.91960479708341,2.1267801839511535,19.539264245229948,9,1954-10-02,Norton [1954],MotoGP,
191,Bike,Norton [1951],26.913901193926733,2.221045461108404,20.25076481060152,8,1951-09-08,,MotoGP,
192,Bike,MV Agusta [1951],22.898902340748343,2.368553518906288,15.79324178402948,6,1951-09-08,,MotoGP,
193,Rider,Ramon Montane,30.62493531153757,4.420967264165182,17.362033519042022,1,1951-04-07,AJS [1951],MotoGP,
194,Bike,AJS [1951],24.577180414466508,2.196755755542156,17.986913147840042,8,1951-09-08,,MotoGP,
195,Rider,Ernesto Vidal,28.525658322006738,4.399351691219723,15.32760324834757,1,1951-04-07,Gilera [1951],MotoGP,
196,Rider,Raymond Becquevort,28.247285900897033,4.397882434314565,15.053638597953338,1,1951-04-07,Norton [1951],MotoGP,
197,Bike,Velocette [1951],28.54141043680554,2.484039126239318,21.089293058087584,6,1951-08-17,,MotoGP,
198,Bike,Moto Guzzi [1951],26.954097286996227,2.3310152707746163,19.961051474672377,7,1951-09-08,,MotoGP,
199,Rider,Juliën Deronne,26.480377434830867,4.38310943343312,13.331049134531508,1,1951-04-07,Norton [1951],MotoGP,
200,Rider,Giulio Galbiati,24.073582184314645,2.67331304653796,16.053643044700763,5,1953-09-05,Moto Guzzi [1953],MotoGP,
201,Rider,Werner Gerber,24.740147966624,3.4178157860643865,14.48670060843084,3,1952-07-19,Horex [1952],MotoGP,
202,Rider,Fernando Aranda,26.59286763170335,3.204358028060254,16.979793547522586,3,1955-07-02,Norton [1955],MotoGP,
203,Rider,Jacques Raffeld,22.26669452981657,3.6678383560274472,11.263179461734227,2,1953-07-04,Norton [1953],MotoGP,
204,Rider,Heinrich Stamm,20.872259016615143,4.440373704890078,7.551137901944909,1,1951-04-07,Gilera [1951],MotoGP,
205,Rider,Hans Baltisberger,29.431436153799307,2.743198899943721,21.201839453968145,5,1953-10-03,BMW [1953],MotoGP,
206,Rider,Massimo Forster,27.888839649740383,3.665010717440391,16.89380749741921,2,1952-05-17,Gilera [1952],MotoGP,
207,Rider,Alexandre Mayer,21.355071790636813,3.2588398157252545,11.57855234346105,3,1953-08-22,Norton [1953],MotoGP,
208,Rider,Florian Camathias,27.292603775491475,2.758480350679351,19.017162723453424,5,1955-08-12,Norton [1955],MotoGP,
209,Bike,BMW [1951],24.726242313690182,4.455772336181747,11.358925305144941,1,1951-05-26,,MotoGP,
210,Rider,Len V. Perry,28.21427526517263,2.885631883464735,19.557379614778426,4,1951-07-13,Norton [1951],MotoGP,
211,Rider,Dennis Lashmar,26.059278027050535,2.4747732269935216,18.634958346069972,6,1954-07-24,BSA [1954],MotoGP,
212,Rider,Sidney Franklen,27.0464576899405,3.143010233069744,17.617426990731268,3,1953-06-11,AJS [1953],MotoGP,
213,Rider,Sven Sørensen,25.024852619959344,3.148941956222814,15.578026751290901,3,1953-06-11,Norton [1953],MotoGP,
214,Rider,Roland Pike,25.69918193156826,4.066291456919682,13.500307560809212,2,1952-06-15,BSA [1952],MotoGP,
215,Bike,BSA [1951],21.307710607733195,3.7926836925384846,9.929659530117743,2,1951-08-17,,MotoGP,
216,Rider,Ray Petty,27.356251944561794,4.343574416556317,14.325528694892844,1,1951-06-07,Norton [1951],MotoGP,
217,Rider,Arnold Jones,25.357110921238135,2.6779077084138763,17.323387795996506,5,1957-06-06,AJS [1957],MotoGP,
218,Rider,Leo Starr,24.408936538636226,2.8432149759463745,15.879291610797102,4,1953-06-11,Norton [1953],MotoGP,
219,Rider,Ray Amm,33.55369125048048,1.4710475459560208,29.14054861261242,20,1954-09-11,Norton [1954],MotoGP,
220,Rider,Eddie Stidolph,26.40429246935275,4.341507198706844,13.379770873232218,1,1951-06-07,Norton [1951],MotoGP,
221,Rider,Joe Chapman,26.078080252621493,4.822305402903792,11.611164043910117,1,1951-06-07,Rudge [1951],MotoGP,
222,Bike,Rudge [1951],26.078080252621486,4.822305402903792,11.61116404391011,1,1951-06-07,,MotoGP,
